customer_id,name,email,city,age
8576,Stacey Salazar,invalid-email,South Jesse,57
3743,Kendra Henderson,smithchelsea@example.com,Port Karenview,43
6232,Michael Farmer,langthomas@example.com,Manuelberg,24
5724,Zachary Howard,william78@example.org,Lake David,59
8988,Robert Kennedy,daniel47@example.net,North Rhonda,52
6523,Jessica Cox,howetimothy@example.com,South Anne,38
3150,Kathryn Peterson,rfuentes@example.net,Bennettport,44
2877,Stephen Williams,jose85@example.net,Bridgesville,28
5915,Cole Garrett,zacharyhernandez@example.com,North Michaelmouth,61
7745,Mary Stephens,rmyers@example.com,Katherinemouth,63
5701,Jack Powell,rickyshannon@example.org,Port Jenniferberg,70
4690,Greg Fuller,johnchung@example.com,East Amy,39
1781,James Richardson,joan82@example.com,Port Jessicaside,21
8905,Jesse Jones,zklein@example.com,Rhondaside,55
4360,Kathryn Blackwell,sbrooks@example.com,Jasonmouth,53
7733,Kathleen Landry,seth01@example.net,East Brenda,27
3795,Jessica Hayes,robert85@example.com,New Lisa,18
3371,Joy Ochoa,jessicamoore@example.com,Lindaberg,57
6014,Brady Gould,vschroeder@example.net,West Elizabethside,69
5804,Abigail Johnston,yolandataylor@example.com,North Carla,23
8779,Veronica Andrews,invalid-email,Suttonfort,55
9078,Michelle Figueroa,marshstephen@example.com,Youngberg,47
3054,Veronica Franklin,garciajames@example.org,Williamshire,66
3289,Nicole Booker,jessicaortiz@example.com,Cisnerosmouth,21
2590,Charles Wallace,uperry@example.org,Lopezshire,61
8058,Emily Howard,kevin06@example.com,East Elizabethmouth,55
4588,Kristin Morgan,seanstephens@example.org,Delgadobury,53
34,Jesus Davis,cummingscaitlin@example.com,Mollyport,21
6389,Becky Taylor,brooksjoseph@example.net,Hannahtown,21
7195,Mandy Davis,danielsjeffrey@example.com,Lake Pammouth,55
8378,Morgan Hernandez,tiffanyhernandez@example.com,Flowerschester,45
4817,Denise Chavez,rossanthony@example.com,Port Davidmouth,62
901,Victor Robinson,kerrmichael@example.com,Lake Seanfort,68
766,Katherine Gross,linda88@example.org,Williamstown,50
7551,Kevin Jones,wromero@example.com,Kimmouth,30
734,Zachary Serrano,amandaburns@example.com,Lake Traci,65
5910,Billy Macias,davisjamie@example.org,West Adamberg,47
569,Sharon Farmer,brandonsmith@example.net,New Karenville,30
1255,Darren Beck,danielthomas@example.org,Port Jamesland,65
9602,Michael Marquez,yharris@example.com,Lauraton,21
3616,Michael Williams,elizabethroberts@example.com,Dawnmouth,44
8354,Francisco Maldonado,josephmonroe@example.org,Buckshire,69
5318,Nicole Harrison,bpatel@example.com,South Jacobfurt,70
40,Sandra Carter,dlee@example.org,Andreaview,32
9202,Sarah Shepherd,odonnelljames@example.com,West Michelle,30
3393,Molly Jimenez,jasonferguson@example.net,North Julie,54
5441,Brian Parks,amber16@example.com,Port Matthewtown,48
3929,David Hernandez,qcruz@example.com,South Lauriechester,65
1414,Wendy Grant,robertoriley@example.org,Lake Drewfurt,29
5290,Daniel Rodriguez,dianabutler@example.org,Jasonfurt,46
9748,Daniel Lindsey,edward65@example.net,Vanceville,35
9161,Joshua Edwards,mcisneros@example.net,Burnsside,52
5182,Kyle Hughes,jennifermartinez@example.net,New Brandon,58
5124,Alan Nixon,matthewsheather@example.com,New Joshuaburgh,33
6422,Andrew Gordon,james69@example.net,West Jamesland,50
9437,Lisa Pugh,oholmes@example.net,East Erik,56
3127,Andrea Jones,darmstrong@example.org,Nguyenborough,34
8841,Sheena Gallagher,christopher17@example.net,Port Wesley,36
1958,Denise Johnson,brandi30@example.org,Harrisbury,43
8970,Justin Day,oscar10@example.net,New Joel,45
1184,Lisa Francis,russellrandall@example.net,West James,36
9104,Daniel Parker,silvachristopher@example.org,Simpsonville,55
4348,John Gonzales,kelly78@example.org,Lake Michaelborough,52
252,Christine Stevens,william86@example.org,Markberg,67
1473,Antonio Mcintyre,delgadocynthia@example.org,South Amy,37
6224,Mark Larsen,marshalltracy@example.org,Vancebury,70
5358,Debra Price,sandovalnancy@example.com,Loganport,42
97,Ashley Hill,marshallkeith@example.net,Cliffordberg,37
7809,Amanda Crawford,tylersanchez@example.org,Port Sandraton,40
4793,Cynthia Bentley,dawn33@example.com,East Gary,40
6484,Gary Mason,tstewart@example.org,Amychester,58
4170,Allen Frazier,mitchelljason@example.net,Dayburgh,33
